"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"968","119440.913000","remote ()","0.536000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"969","119440.913000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"971","119441.183000","remote ()","0.216000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"972","119441.183000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"974","119441.186000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1052","119441.517000","controller","0.168000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3001","119471.018000","remote ()","0.735000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"3002","119471.018000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"3003","119471.212000","controller","0.194000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3005","119471.288000","remote ()","0.076000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"3006","119471.288000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"3007","119471.624000","controller","0.336000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3565","119500.988000","remote ()","0.063000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"3566","119500.988000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"3568","119501.258000","remote ()","0.100000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"3569","119501.258000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"3570","119501.262000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3571","119501.493000","controller","0.231000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"4679","119531.094000","remote ()","0.162000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"4680","119531.094000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"4683","119531.303000","controller","0.129000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"4686","119531.365000","remote ()","0.026000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"4687","119531.366000","localhost ()","0.001000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"4723","119531.551000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"5947","119561.198000","remote ()","0.399000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"5948","119561.198000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"5966","119561.385000","controller","0.006000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"5989","119561.470000","remote ()","0.042000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"5990","119561.471000","localhost ()","0.001000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"5992","119561.804000","controller","0.293000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"7058","119591.303000","remote ()","0.186000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"7059","119591.304000","localhost ()","0.001000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"7063","119591.573000","remote ()","0.125000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"7064","119591.573000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"7065","119591.576000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"7068","119592.005000","controller","0.246000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
